REGION,MINERALS,SITE NAME,DESCRIPTION,lat,lon,COMPANY NAME
Brong Ahafo,Manganese,Yakau-Himakrom Manganese Occurrence,Ore mineralization has been found at this location.There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Manganese,Aserebusu Manganese Occurrence,Ore mineralization has been found at this location.There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Manganese,Buabinso Manganese Occurrence,Ore mineralization has been found at this location.There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Manganese,Aketechi Manganese Occurrence,Ore mineralization has been found at this location.There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Manganese,Kapili Hill Manganese Occurrence,Ore mineralization has been found at this location.There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Silica,Brong Ahafo Silica Mines,Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Brong Ahafo,Titanium,Brong Ahafo Titanium Mines,Location:7.9608°N 1.2058°W,7.9608,-1.2058,
Western,Meteorite,Bosumtwi meteorite,,6.5,-1.416667,
Western,Aluminium,Awaso Aluminum Deposit,Location: 6.2344°N 2.2652°W,6.2344,-2.2652,
Western,Aluminium,Awaso Aluminum Mine,The site was first discovered in 1921. The Awaso Aluminum Mine is a surface mining operation. Initial production took place in 1941. Mine operations consist of surface workings extending 225.00 hectares (555.99 acres). There is one known shaft. The mining method is open pit. Location: 6.2344°N 2.2818°W,6.2344,-2.2818,
Western,Gold,"Tom collins mine,Obuasi, Ashanti gold belt",,6.23305556,-1.64972222,
Western,Gold,"Blackie's mine, Obuasi, Ashanti gold belt",,6.23305556,-1.64972222,
Western,Gold,"Ayeimn mine,Obuasi, Ashanti gold belt",,6.23305556,-1.64972222,
Western,Gold,"Ashanti mine, Ashanti gold belt",,6.23305556,-1.64972222,
Western,Gold,"Bokitsi mine, Dunkwa, Ashanti gold belt",,6.23305556,-1.64972222,
Western,Gold,Dunkwa state gold mine,,6.23305556,-1.64972222,
Western,Gold,"Ayanfuri mine,Ashanti gold belt",,5.96111,-1.89722,
Western,Gold,"Pampe deposit,Ashanti gold belt",,5.65,-2.11667,
Western,Gold,"Birum River, Bogoso",,5.63333,-2.05,Golden star resources
Western,Gold,Chirano Gold mine,,6.3112179,-2.3844798,Chirano Gold mine Limited
Western,Gold,"Damang mine, Tarkwa, Ashanti gold belt",,5.51639,-1.8425,Gold fields
Western,Gold,"Nsuta Mine, Tarkwa",,5.28333,-1.96667,
Western,Gold,Bibiani Gold mine,,6.47558557,-2.30516535,AngloGold Ashanti
Western,Gold,Yamfo-Sefwi deposit,,7.21948,-2.2362,
Western,Gold,"Romaso, Ashanti gold belt",,6.3361111,-2.01416667,
Western,Gold,"Akyempim, Ashanti gold belt",,5.48389,-1.73306,
Western,Gold,Golden star Akyempim Gold mine,,5.4825,-1.71833,
Western,Gold,"Akyiempim Wassa Gold mine,Ashanti gold belt",,5.49417,-1.71806,Golden star resources
Western,Gold,"Affoh-sefwi,Bekwai district",,6.23305556,-2.66667,
Western,Gold,"Dompim,Bonsa River, Bonsa diamond field",,5.1,-1.666667,
Western,Gold,Yakau mine,,4.83333,-1.966667,
Western,Gold,"Bonsa River, Bonsa diamond field",,5.26515,-2.14861,
Western,Gold,Bonsa diamond field,,5.26667,-2.15,
Western,Gold,"Konongo, Ashanti gold belt",,6.61667,-1.21667,
Western,Gold,Konongo-southern cross mine,,6.62083333,-1.21666667,
Western,Gold,"Obenemase, Ashanti gold belt",,6.686381,-1.16706066,
Western,Gold,"Dunkwa, Ashanti gold belt",,5.96974,-1.78405,
Western,Gold,"Obuasi, Ashanti gold belt",,6.20221,-1.69089,AngloGold Ashanti
Western,Gold,"Obussi south mine,Ashanti gold belt",,6.23305556,-1.64972222,
Western,Gold,"Justice mine, Ashanti gold mine",,6.23305556,-1.64972222,
Western,Gold,"Old chief mine,Obuasi,Ashanti gold belt",,6.23305556,-1.64972222,
Western,Gold,"Cote d'Or mine, Ashanti gold belt",,6.23305556,-1.64972222,
Western,Gold,Asanko gold mine,,6.34058,-1.98557,
Western,Gold,Prestea Gold Mine,It is an underground mining operation. Location: 5.4553°N 2.1777°W. It is owned by State Gold mines corperation,5.4553,-2.1777,Golden star resources
Western,Gold,Teberebie Project,The Teberebie Project is a surface mining operation. Location: 5.2679°N 2.0485°W,5.2679,-2.0485,AngloGold Ashanti
Western,Gold,Brumasi-Buesichem Gold Prospect,"Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Enough data has been gathered to estimate grade and tonnage. Mine operations consist of underground workings. Underground features include 1 shaft and 4 inclines. Location: 5.5678°N 2.0068°W",5.5678,-2.0068,
Western,Gold,Abosso Gold Prospect,"Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Enough data has been gathered to estimate grade and tonnage. Mine operations consist of underground workings. There are a total of 5 shafts. The mining method is sublevel. Location: 5.3679°N 1.9485°W",5.3679,-1.9485,
Western,Gold,Tarkwa Gold Mine,"Production output of the Tarkwa Gold Mine was considered to be small size. The ore mined is composed of gold with waste material consisting primarily of clay, quartz and mica. Location: 5.3178°N 1.9818°W",5.3178,-1.9818,Gold fields
Western,Gold,Prestea Gold Mine,"The ore mined is composed of gold, bornite and pyrrhotite with waste material consisting primarily of quartz, calcite and ankerite. Location: 5.4511°N 2.1318°W",5.4511,-2.1318,
Western,Gold,Iduapriem Gold Mine And Mill,The Iduapriem Gold Mine And Mill is a surface mining operation. Location: 5.2429°N 2.0402°W,5.2429,-2.0402,AngloGold Ashanti
Western,Gold,Tarkwa Mill,The Tarkwa Mill is a surface and underground mining operation.Location: 5.5014°N 2.0154°W,5.5014,-2.0154,Gold fields
Western,Gold,Bogosu Gold Project,The Bogosu Gold Project is a surface and underground mining operation. Location: 5.5761°N 2.0027°W,5.5761,-2.0027,
Western,Manganese,Buabinso Manganese Occurrence,"Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. The ore mined is composed of spessartite with waste material consisting primarily of quartz. Location: 5.7471°N 2.4134°W",5.7471,-2.4134,
Western,Manganese,Nsutu Manganese Mine,"The Nsutu Manganese Mine is a surface mining operation. Initial production took place in 1917. Mine operations consist of surface workings extending 10,000.00 hectares (24,710.50 acres). There is one known shaft. The mining method is open pit. Location: 5.2512°N 2.1652°W",5.2512,-2.1652,
Western,Manganese,Nsuta Manganese Mine,The site was first discovered in 1914. The host rock in this area is greenstone from the Neoproterozoic era 1.00 to 0.54 billion years ago. Location: 5.2345°N 1.9485°W,5.2345,-1.9485,
Western,Platinum,Axim Fort Platinum Occurrence,"Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. The ore mined is composed of pyrrhotite, pyrite and chalcopyrite. Location: 4.8695°N 2.2399°W",4.8695,-2.2399,
Western,Silver,Brumasi-Buesichem Gold Prospect,"Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Enough data has been gathered to estimate grade and tonnage. Mine operations consist of underground workings. Underground features include 1 shaft and 4 inclines. Subsurface depth reaches a maximum of 621 meters (2,037 feet). The mining method is breast stoping. Location: 5.5678°N 2.0068°W",5.5678,-2.0068,
Western,Silver,Abosso Gold Prospect,"Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Enough data has been gathered to estimate grade and tonnage. Mine operations consist of underground workings. There are a total of 5 shafts. The mining method is sublevel. Location:5.3679°N 1.9485°W",5.3679,-1.9485,
Western,Silver,Tarkwa Mill,The Tarkwa Mill is a surface and underground mining operation. Location: 5.5014°N 2.0154°W,5.5014,-2.0154,Gold fields
Ashanti,Aluminium,Ashanti Aluminum Mines(Nyinahin Aluminum Prospect),"Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Enough data has been gathered to estimate grade and tonnage. Mine operations consist of 2 distinct surface workings extending 3,862.00 hectares (9,543.20 acres). There is one known shaft. The mining method is open pit. Location: 6.6427°N 2.2152°W",6.6427,-2.2152,
Ashanti,Chromium,Ashanti Chromium Mines(Mount Ahito Chromium Prospect),"Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Location: 7.2593°N 0.9318°W",7.2593,-0.9318,
Ashanti,Gold,Odumase Manganese Mine,"The Odumase Manganese Mine is near Kumasi, Ghana. Location: 6.8096°N 1.4436°W",6.8096,-1.4436,
Ashanti,Gold,Benso Gold Prospect,"Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Location: 6.2511°N 1.5985°W",6.2511,-1.5985,
Ashanti,Gold,Esaase Concession-Bonte Placer Proj Gold Prospect,"The Esaase Concession-Bonte Placer Proj Gold Prospect is near Kumasi, Ghana. Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Location: 6.5469°N 1.7777°W",6.5469,-1.7777,
Ashanti,Gold,Nzema Gold mine ,,4.9674654,-1.7271945,Endeavor Mining Company
Ashanti,Gold,Tlekeu-Bokazo Gold Prospect,"The Tlekeu-Bokazo Gold Prospect is near Kumasi, Ghana. The site was first discovered in 1994. Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Location: 6.7510°N 1.5818°W",6.751,-1.5818,
Ashanti,Gold,Ashanti Gold Mine,"The Ashanti Gold Mine is near Obuasi, Ghana. Production output of the Ashanti Gold Mine was considered to be medium size. The ore mined is composed of gold, galena and pyrite with waste material consisting primarily of graphite, sericite and quartz. Location: 6.2344°N 1.6485°W",6.2344,-1.6485,
Ashanti,Gold,Dunkwa Alluvial Operations,"The Dunkwa Alluvial Operations are near Obuasi, Ghana. The Dunkwa Alluvial Operations is a placer mining operation. Location: 6.0094°N 1.5860°W",6.0094,-1.586,
Ashanti,Gold,Ashanti Obuasi Concession Mill,"The Ashanti Obuasi Concession Mill is near Kumasi, Ghana. The Ashanti Obuasi Concession Mill is a underground mining operation. Location: 6.4511°N 1.7068°W",6.4511,-1.7068,
Ashanti,Gold,Diaso Gold Concession Gold Prospect,"The Diaso Gold Concession Gold Prospect is near Obuasi, Ghana. The site was first discovered in 1994. Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Location: 6.2511°N 1.5985°W",6.2511,-1.5985,
Ashanti,Gold,Konongo-Obenemase-Pepe Gold Mine,"The Konongo-Obenemase-Pepe Gold Mine is in Ashanti, Ghana. The Konongo-Obenemase-Pepe Gold Mine is a surface and underground mining operation. Location: 6.6303°N 1.1443°W",6.6303,-1.1443,
Ashanti,Gold,Sansu Project Obuasi Concession Leach Plant,"The Sansu Project Obuasi Concession Leach Plant is near Kumasi, Ghana. The Sansu Project Obuasi Concession Leach Plant is a surface mining operation.Location: 6.4511°N 1.7068°W",6.4511,-1.7068,
Ashanti,Gold,Bibiani Gold Prospect,"The Bibiani Gold Prospect is in Ashanti, Ghana. Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping.Location: 6.5011°N 2.1318°W",6.5011,-2.1318,
Ashanti,Gold,Mampon-Dunkwa Exploration Property,"The Mampon-Dunkwa Exploration Property is in Ashanti, Ghana. Location: 7.1010°N 1.3318°W",7.101,-1.3318,
Ashanti,Iron,Nyinahin Aluminum Prospect,"The Nyinahin Aluminum Prospect is in Ashanti, Ghana. The site was first discovered in 1922. Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping.The mining method is open pit. Location: 6.6427°N 2.2152°W",6.6427,-2.2152,
Ashanti,Manganese,Odumase Manganese Mine,"The Odumase Manganese Mine is near Kumasi, Ghana. Location: 6.8096°N 1.4436°W",6.8096,-1.4436,
Ashanti,Silica,Nyinahin Aluminum Prospect,"The Nyinahin Aluminum Prospect is in Ashanti, Ghana. The site was first discovered in 1922. Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Enough data has been gathered to estimate grade and tonnage. Mine operations consist of 2 distinct surface workings extending 3,862.00 hectares (9,543.20 acres). There is one known shaft. The mining method is open pit. Location: 6.6427°N 2.2152°W",6.6427,-2.2152,
Ashanti,Silver,Ashanti Obuasi Concession Mill,"The Ashanti Obuasi Concession Mill is near Kumasi, Ghana. The Ashanti Obuasi Concession Mill is a underground mining operation. Location: 6.4511°N 1.7068°W",6.4511,-1.7068,
Ashanti,Silver,Ashanti Gold Mine,"The Ashanti Gold Mine is near Obuasi, Ghana. Production output of the Ashanti Gold Mine was considered to be medium size. The ore mined is composed of gold, galena and pyrite with waste material consisting primarily of graphite, sericite and quartz. Location: 6.2344°N 1.6485°W",6.2344,-1.6485,
Ashanti,Silver,Nyinahin Aluminum Prospect,"The Nyinahin Aluminum Prospect is in Ashanti, Ghana. The site was first discovered in 1922. Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Enough data has been gathered to estimate grade and tonnage. Mine operations consist of 2 distinct surface workings extending 3,862.00 hectares (9,543.20 acres). There is one known shaft. The mining method is open pit. Location: 6.6427°N 2.2152°W",6.6427,-2.2152,
Ashanti,Titanium,Nyinahin Aluminum Prospect,"The Nyinahin Aluminum Prospect is in Ashanti, Ghana. The site was first discovered in 1922. Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Enough data has been gathered to estimate grade and tonnage. Mine operations consist of 2 distinct surface workings extending 3,862.00 hectares (9,543.20 acres). There is one known shaft. The mining method is open pit. Location: 6.6427°N 2.2152°W",6.6427,-2.2152,
Northern,Gold,Du,,10.49972,-0.98917,
Northern,Gold,Daboya,,9.52847,-1.38764,
Northern,Gold,South Korupe Gold Prospect,"The South Korupe Gold Prospect is in Northern, Ghana. The site was first discovered in 1994. Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Location: 9.0509°N 2.3818°W",9.0509,-2.3818,
Northern,Manganese,Bele Manganese Occurrence,"The Bele Manganese Occurrence is near Tamale, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 9.3539°N 0.9712°W",9.3539,-0.9712,
Northern,Manganese,Tindongo Manganese Occurrence,"The Tindongo Manganese Occurrence is near Tamale, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 9.3539°N 0.9712°W",9.3539,-0.9712,
Northern,Manganese,Nangruma Manganese Occurrence,"The Nangruma Manganese Occurrence is near Tamale, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 9.3539°N 0.9712°W",9.3539,-0.9712,
Northern,Manganese,Belong Manganese Occurrence,"The Belong Manganese Occurrence is near Tamale, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. ",9.3539,-0.9712,
Northern,Manganese,Pwalugu Manganese Occurrence,"The Pwalugu Manganese Occurrence is near Tamale, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 9.3539°N 0.9712°W",9.3539,-0.9712,
Northern,Manganese,Pongo Manganese Occurrence,"The Pongo Manganese Occurrence is near Tamale, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 9.3539°N 0.9712°W",9.3539,-0.9712,
Northern,Manganese,Bakadokwi Manganese Occurrence,"The Bakadokwi Manganese Occurrence is near Tamale, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 9.3539°N 0.9712°W",9.3539,-0.9712,
Northern,Manganese,Kambale Manganese Occurrence,"The Kambale Manganese Occurrence is near Tamale, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 9.3539°N 0.9712°W",9.3539,-0.9712,
Northern,Manganese,Hapa Manganese Occurrence,"The Hapa Manganese Occurrence is near Tamale, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 9.3539°N 0.9712°W",9.3539,-0.9712,
Northern,Manganese,Wiaga Manganese Occurrence,"The Wiaga Manganese Occurrence is near Tamale, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 9.3539°N 0.9712°W",9.3539,-0.9712,
Eastern,Aluminium,Kibi Atewa Aluminum Prospect,"The Kibi Atewa Aluminum Prospect is near Koforidua, Ghana. The site was first discovered in 1914. Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Enough data has been gathered to estimate grade and tonnage. Mine operations consist of surface workings extending 1,000.00 hectares (2,471.05 acres). There is one known shaft. The mining method is open pit. Location: 6.1344°N 0.5485°W",6.1344,-0.5485,
Eastern,Diamond,"Akwatia mine, Birim diamond field",,6.03611,-0.80972,Paramount Mining Corporation
Eastern,Diamond,Nyafomang diamond field,,6.33333,-1,
Eastern,Gold,"Akyem mine, Birim North district",,6.35287,-1.01944,Newmont Gold Ghana
Eastern,Gold,"Akosombo, Asuogyaman District",,6.26656,0.04451,
Eastern,Gold,Goldenrae Alluvial Project,"The Goldenrae Alluvial Project is near Nkawkaw, Ghana. The Goldenrae Alluvial Project is a placer mining operation. Mine operations consist of underground workings. There are a total of 9 shafts. The mining method is filled stopes. Location: 6.2511°N 0.6235°W",6.2511,-0.6235,
Eastern,Iron,Atiwa Range,"The Atiwa Range is near Koforidua, Ghana. The ore body takes a sheet-like form of unknown dimensions. Location: 6.4049°N 0.4239°W",6.4049,-0.4239,
Eastern,Manganese,Inghuma Bepo Manganese Occurrence,"The Inghuma Bepo Manganese Occurrence is near Koforidua, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 6.4049°N 0.4239°W",6.4049,-0.4239,
Eastern,Manganese,Birrinsim Manganese Occurrence,"The Birrinsim Manganese Occurrence is near Koforidua, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 6.4049°N 0.4239°W",6.4049,-0.4239,
Eastern,Manganese,Pawm Pawm River Manganese Occurrence,"The Pawm Pawm River Manganese Occurrence is near Koforidua, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 6.4049°N 0.4239°W",6.4049,-0.4239,
Eastern,Manganese,Atiwa Range,"The Atiwa Range is near Koforidua, Ghana. Location: 6.4049°N 0.4239°W",6.4049,-0.4239,
Eastern,Silver,Goldenrae Alluvial Project,"The Goldenrae Alluvial Project is near Nkawkaw, Ghana. The Goldenrae Alluvial Project is a placer mining operation. Mine operations consist of underground workings. There are a total of 9 shafts. The mining method is filled stopes. Location: 6.2511°N 0.6235°W",6.2511,-0.6235,
Central,Gold,"Mankwadzi, Winneba, Awutu Efutu Senya district",,5.31667,-0.68333,
Central,Gold,Bokitiso Concession Ayanfuri Gold Prospect,"The Bokitiso Concession Ayanfuri Gold Prospect is near Obuasi, Ghana. Preliminary development has taken place such as surface trenching, adits, shafts, drill holes, geophysics, geochemistry, or geological mapping. Location: 5.9178°N 1.7568°W",5.9178,-1.7568,Perseus mining
Central,Aluminium,Bauxite Ghana Aluminum Occurrence,"The Bauxite Ghana Aluminum Occurrence is near Winneba, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. The ore mined is composed of bauxite. Location: 5.3345°N 0.7485°W",5.3345,-0.7485,
Central,Copper,Winneba Platinum Occurrence,"The Winneba Platinum Occurrence is near Cape Coast, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. The ore mined is composed of chalcopyrite and pyrite. The host rock in this area is plutonic rock. Location: 5.3692°N 1.1655°W",5.3692,-1.1655,
Central,Copper,Unnamed Copper Occurrence,"This unnamed copper occurrence is in Central, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. Location: 5.5011°N 1.4985°W",5.5011,-1.4985,
Central,Manganese,Chichiwere-Tinte Hills Manganese Occurrence,"The Chichiwere-Tinte Hills Manganese Occurrence is in Central, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. The host rock in this area is phyllite. Location: 6.1678°N 2.0818°W
",6.6178,-2.0818,
Central,Nickel,Winneba Platinum Occurrence,"The Winneba Platinum Occurrence is near Cape Coast, Ghana. Ore mineralization has been found at this location, however the precise grade, tonnage, and extent of the mineralization are not known. There has been no production and little to no activity other than routine claim maintenance since the mineral discovery. The ore mined is composed of chalcopyrite and pyrite. The host rock in this area is plutonic rock. Location:  5.3692°N 1.1655°W",5.3692,-1.1655,
Greater Accra,Aluminium,Tema Smelter,"The Tema Smelter is near Tema, Ghana. The Tema Smelter is a processing plant. Location: 5.6678°N 0.0152°W",5.6678,-0.0152,
Upper West,Gold,"Butele deposit, Wa gold district",,10.12344,-2.75721,
Upper West,Gold,"Josephine deposit,Wa gold district ",,9.9717,-2.36256,
Upper West,Gold,"Kjerski deposit, Wa gold district",,10.15595,-2.1832,
Upper West,Gold,"Julie West deposit, Wa gold district",,10.202,-2.1178,
Upper West,Gold,"Colette deposit, Wa gold district",,10.17406,-1.97408,
Upper West,Gold,"Julie deposit, Wa gold district",,10.11416,-2.09638,
Volta,Gold,Worawora,,7.51325,0.37383,
